====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   m   m   m   m   m   m   m   m   m   m   r   e   s   l   l   l   w   a   a   a   a   a   a   a   a   d 
 in 1e-09 sec | l   s   a   a   a   a   a   a   a   a   a   a   e   m   t   u   u   u   r   d   d   d   d   d   d   d   d   a 
              | k   t   s   s   s   s   s   s   s   s   s   s   a   p   a   t   t   t   i   d   d   d   d   d   d   d   d   t 
              |         k   k   k   k   k   k   k   k   k   k   d   t   r   _   _   _   t   r   r   r   r   r   r   r   r   a 
              |         _   _   _   _   _   _   _   _   _   _   y   y   t   s   r   e   e   _   _   _   _   _   _   _   _   _ 
              |         7   7   7   7   7   7   7   7   s   s               t   e   r       7   7   7   7   7   7   7   7   i 
              |         _   _   _   _   _   _   _   _   e   e               a   a   r       _   _   _   _   _   _   _   _   n 
              |         0   0   0   0   0   0   0   0   l   l               r   d   o       0   0   0   0   0   0   0   0     
              |         _   _   _   _   _   _   _   _   e   e               t   y   r       _   _   _   _   _   _   _   _     
              |         7   6   5   4   3   2   1   0   c   c                               7   6   5   4   3   2   1   0     
              |                                         t   t                                                                 
              |                                         _   _                                                                 
              |                                         1   1                                                                 
              |                                         _   _                                                                 
              |                                         0   0                                                                 
              |                                         _   _                                                                 
              |                                         1   0                                                                 
====================================================================================================================================
          0.0 | 1   1   x   x   x   x   x   x   x   x   x   x   x   x   0   x   0   0   0   x   x   x   x   x   x   x   x   x
          0.0 | 1   1   x   x   x   x   x   x   x   x   1   0   0   0   0   1   0   0   0   x   x   x   x   x   x   x   x   x
         10.0 | 0   1   x   x   x   x   x   x   x   x   1   0   0   0   0   1   0   0   0   x   x   x   x   x   x   x   x   x
         20.0 | 1   1   x   x   x   x   x   x   x   x   1   0   0   0   0   1   0   0   0   x   x   x   x   x   x   x   x   x
         22.3 | 1   1   x   x   x   x   x   x   x   x   1   0   0   0   0   0   0   0   0   x   x   x   x   x   x   x   x   x
         30.0 | 0   0   x   x   x   x   x   x   x   x   1   0   0   0   0   0   0   0   0   x   x   x   x   x   x   x   x   x
         40.0 | 1   0   x   x   x   x   x   x   x   x   1   0   0   0   0   0   0   0   0   x   x   x   x   x   x   x   x   x
         41.0 | 1   0   x   x   x   x   x   x   x   x   0   0   0   0   0   0   0   0   0   x   x   x   x   x   x   x   x   x
         50.0 | 0   0   0   1   1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   x   x   x   x   x   x   x   x   x
         60.0 | 1   0   0   1   1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   x   x   x   x   x   x   x   x   x
         62.9 | 1   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   x   x   x   x   x   x   x   x   x
         70.0 | 0   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   x   x   x   x   x   x   x   x   0
         80.0 | 1   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   x   x   x   x   x   x   x   x   0
         81.9 | 1   0   0   1   1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   x   x   x   x   x   x   x   x   0
         83.0 | 1   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   x   x   x   x   x   x   x   x   0
         90.0 | 0   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   x   x   x   x   x   x   x   x   0
        100.0 | 1   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   x   x   x   x   x   x   x   x   0
        110.0 | 0   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   x   x   x   x   x   x   x   x   0
        120.0 | 1   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   x   x   x   x   x   x   x   x   0
        130.0 | 0   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   x   x   x   x   x   x   x   x   0
        140.0 | 1   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   x   x   x   x   x   x   x   x   0
        150.0 | 0   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   x   x   x   x   x   x   x   x   0
        160.0 | 1   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   x   x   x   x   x   x   x   x   0
        170.0 | 0   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   x   x   x   x   x   x   x   x   0
        180.0 | 1   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   x   x   x   x   x   x   x   x   0
        190.0 | 0   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   x   x   x   x   x   x   x   x   0
        200.0 | 1   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   x   x   x   x   x   x   x   x   0
        210.0 | 0   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   1   0   0   x   x   x   x   x   x   x   x   0
        220.0 | 1   0   0   1   1   0   1   1   0   0   0   0   0   0   1   1   1   0   0   x   x   x   x   x   x   x   x   0
        221.9 | 1   0   0   1   1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   x   x   x   x   x   x   x   x   0
        224.9 | 1   0   0   1   1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0   1   1   0   1   1   0   0   0
        230.0 | 0   0   0   1   1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0   1   1   0   1   1   0   0   0
        240.0 | 1   0   0   1   1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0   1   1   0   1   1   0   0   0
        250.0 | 0   0   0   1   1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0   1   1   0   1   1   0   0   0
        260.0 | 1   0   0   1   1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0   1   1   0   1   1   0   0   0
        261.5 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   0   0   0   0   0   1   1   0   1   1   0   0   0
        262.9 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        270.0 | 0   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        280.0 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        281.9 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   0   0   0   0   0   1   1   0   1   1   0   0   0
        283.0 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        290.0 | 0   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        300.0 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        310.0 | 0   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        320.0 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        330.0 | 0   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        340.0 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        350.0 | 0   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        360.0 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        370.0 | 0   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        380.0 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        390.0 | 0   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        400.0 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        410.0 | 0   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        420.0 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        430.0 | 0   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        440.0 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        450.0 | 0   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        460.0 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        470.0 | 0   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
