================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   s   r   r   r   r   r   r   r   r   r   r   r   s   r 
 in 1e-09 sec | l   e   t   a   a   a   a   a   a   a   a   a   a   a   c   e 
              | k   s   a   m   m   m   m   m   m   m   m   m   m   m   o   a 
              |     e   r   _   _   _   _   _   _   _   _   _   _   _   r   d 
              |     t   t   i   o   a   a   a   a   a   a   a   a   w   e   y 
              |             n   u   d   d   d   d   d   d   d   d   r         
              |                 t   d   d   d   d   d   d   d   d   i         
              |                     r   r   r   r   r   r   r   r   t         
              |                     _   _   _   _   _   _   _   _   e         
              |                     7   7   7   7   7   7   7   7             
              |                     _   _   _   _   _   _   _   _             
              |                     0   0   0   0   0   0   0   0             
              |                     _   _   _   _   _   _   _   _             
              |                     7   6   5   4   3   2   1   0             
================================================================================
          0.0 | 1   1   0   1   x   x   x   x   x   x   x   x   x   x   x   x
          0.0 | 1   1   0   1   0   0   0   0   1   1   0   0   1   0   1   0
        160.0 | 0   1   0   1   0   0   0   0   1   1   0   0   1   0   1   0
        320.0 | 1   1   0   1   0   0   0   0   1   1   0   0   1   0   1   0
        320.7 | 1   1   0   1   0   0   0   0   1   1   0   0   1   0   0   0
        320.8 | 1   1   0   1   0   0   0   0   1   1   0   0   1   0   0   1
        400.0 | 1   0   0   1   0   0   0   0   1   1   0   0   1   0   0   1
        480.0 | 0   0   0   1   0   0   0   0   1   1   0   0   1   0   0   1
        640.0 | 1   0   0   1   0   0   0   0   1   1   0   0   1   0   0   1
        800.0 | 0   0   0   1   0   0   0   0   1   1   0   0   1   0   0   1
        960.0 | 1   0   0   1   0   0   0   0   1   1   0   0   1   0   0   1
       1000.0 | 1   0   1   1   0   0   0   0   1   1   0   0   1   0   0   1
       1120.0 | 0   0   1   1   0   0   0   0   1   1   0   0   1   0   0   1
       1280.0 | 1   0   1   1   0   0   0   0   1   1   0   0   1   0   0   1
       1286.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1440.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1600.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1600.7 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       1760.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       1920.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       2080.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       2240.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       2242.2 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
       2400.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
       2560.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
       2564.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       2564.7 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
       2720.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
       2880.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
       2884.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       2884.8 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
       3040.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
       3200.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
       3202.1 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
       3360.0 | 0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
       3520.0 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
       3523.2 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       3524.5 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
       3680.0 | 0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
       3840.0 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
